,country,alcoholic_beverages,animal_fats,animal_products,aquatic_products_other,cereals_excluding_beer,eggs,fish_seafood,fruits_excluding_wine,meat,milk_excluding_butter,miscellaneous,offals,oilcrops,pulses,spices,starchy_roots,stimulants,sugar_crops,sugar_sweeteners,treenuts,vegetable_oils,vegetables,vegetal_products,confirmed,deaths,recovered,active,population
22,Burkina Faso,153.34,0.23,46.5,0.0,211.5,2.4,7.06,6.58,12.0,23.14,1.37,1.66,18.62,14.26,0.32,9.7,0.21,0.0,11.26,0.71,9.48,15.0,452.28,0.0326651676792805,0.0004066401951872,0.0246471798306463,0.0076113476534468,20903000.0
23,Cabo Verde,41.7,0.38,102.18,0.03,154.97,4.82,11.1,48.6,32.18,52.57,11.72,1.1,5.65,11.93,2.86,40.25,1.75,0.0,22.41,0.27,9.92,69.48,421.5,2.13525179856115,0.0203237410071942,2.08075539568345,0.0341726618705036,556000.0
24,Cambodia,46.13,0.38,61.26,0.0,250.79,1.32,42.69,23.36,12.34,3.31,4.89,1.22,7.96,4.94,0.79,30.75,1.27,8.43,30.15,0.24,2.53,30.3,442.52,0.0024456346389623,0.0,0.0023359359876105,0.0001096986513518,15497000.0
25,Cameroon,70.51,0.2,40.11,0.0,141.01,0.35,18.06,98.67,11.98,8.6,0.98,0.92,11.84,20.15,3.87,155.74,0.32,0.0,8.86,1.81,8.75,121.15,643.66,0.100939920294759,0.0016843371682081,0.0935859839085646,0.0056695992179863,26598000.0
26,Canada,89.52,14.94,296.36,0.11,118.71,14.17,22.45,93.68,82.62,161.88,11.22,0.18,8.01,11.65,1.06,64.57,7.49,0.0,92.84,2.66,24.84,101.57,627.5,1.53286200576067,0.0409636030374444,1.29467661691542,,38190000.0
27,Central African Republic,16.76,1.18,66.36,0.0,37.34,0.49,7.73,43.78,35.9,16.9,0.59,4.17,6.7,8.59,0.03,266.4,1.93,0.0,6.75,0.0,6.96,18.47,414.26,0.102753623188406,0.0013043478260869,0.0398343685300207,0.0616149068322981,4830000.0
28,Chad,5.7,1.39,84.37,0.0,148.41,0.34,7.18,7.33,26.48,40.56,0.44,8.42,20.82,9.71,0.0,48.03,0.06,0.0,9.24,0.0,3.13,6.28,259.14,0.012685903892872,0.0006162232624281,0.0100965811459383,0.0019730994845055,16877000.0
29,Chile,67.2,2.41,203.39,0.21,146.84,10.49,11.78,52.89,83.16,94.62,4.09,0.71,3.5,3.62,0.18,63.81,1.83,0.0,48.12,1.61,7.35,71.8,472.77,3.14619414483821,0.0855675398048279,2.97484848484848,0.0857781201848998,19470000.0
30,China,40.17,1.88,152.11,0.69,195.57,22.72,38.17,97.93,60.59,24.05,0.4,3.99,9.94,1.37,0.33,66.6,1.56,0.06,8.24,2.94,7.72,377.17,810.05,0.0068471211543192,0.0003409905268524,0.0064198490428805,8.62815845862584e-05,1402385000.0
31,Colombia,48.81,1.28,201.66,0.0,127.49,12.79,7.16,178.17,55.9,121.81,1.22,2.72,3.58,5.51,0.54,79.13,0.09,0.44,74.74,1.49,14.87,48.73,584.76,3.34697839980584,0.0879682064557884,3.07529326106302,0.183716932287032,49444000.0
32,Congo,60.79,0.15,75.06,0.0,76.66,0.56,29.34,49.03,40.11,1.18,2.12,3.73,4.45,2.95,0.04,284.83,0.21,0.0,17.04,0.02,8.21,31.27,537.55,0.452265313519391,0.0126676332004349,0.372363175063429,0.0672345052555274,5518000.0
33,Costa Rica,23.54,2.12,258.9,0.01,120.06,10.51,18.46,131.97,53.55,172.63,0.38,1.61,4.04,11.58,0.6,21.73,4.41,0.0,54.07,0.55,19.91,41.36,434.21,3.31287419291724,0.0427509293680297,2.5811582860497,0.688964977499511,5111000.0
34,Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,0.0862005730659026,0.0005272206303724,0.0839770773638969,0.0016962750716332,26175000.0
35,Croatia,101.58,4.68,352.78,0.01,117.64,8.06,18.74,69.48,75.29,242.15,0.0,3.85,7.12,0.76,0.48,36.84,5.01,0.0,62.93,1.55,7.76,255.12,666.06,5.27380597014925,0.0985323383084577,4.97064676616915,0.204626865671642,4020000.0
36,Cuba,34.78,2.03,169.09,0.0,167.76,8.89,5.69,152.62,55.47,94.55,1.33,2.46,9.03,19.15,0.15,87.09,1.11,0.0,53.41,0.01,7.66,141.46,675.53,0.106869958337027,0.0012942115060721,0.0917028632213456,0.0138728836096091,11281000.0
37,Cyprus,47.18,0.38,221.52,0.02,96.76,7.87,24.94,84.89,72.82,113.33,20.35,2.17,5.6,2.89,0.42,24.25,3.27,0.0,57.79,2.44,16.35,101.2,463.2,1.89047224523612,0.0105219552609776,0.170422535211268,1.70952775476388,1207000.0
38,Czechia,171.23,15.55,309.55,0.01,98.98,8.63,9.31,59.04,82.78,190.93,1.91,2.33,1.65,1.98,0.55,59.09,2.33,0.0,66.2,0.83,17.13,78.73,559.67,6.83111235535648,0.109285181037701,5.59978536767451,1.12204180664427,10716000.0
39,Denmark,94.03,23.89,446.7,0.02,129.36,15.79,22.7,59.84,70.82,307.03,0.0,6.44,2.28,0.71,1.49,59.87,7.83,0.0,55.28,2.19,1.76,100.89,515.34,2.85755704237434,0.0226797049236576,2.25407445530966,0.580802882141019,5829000.0
40,Djibouti,3.26,0.5,47.65,0.0,174.93,1.1,3.69,28.25,15.04,25.1,10.21,2.22,0.49,13.57,1.3,16.08,1.13,0.0,36.25,0.35,13.94,84.26,383.67,0.591093117408907,0.0061740890688259,0.580465587044534,0.0044534412955465,988000.0
41,Dominica,18.61,0.63,176.04,0.0,67.27,2.46,28.06,381.76,55.02,87.45,13.34,2.41,21.87,4.46,2.99,135.43,5.05,0.0,62.77,0.07,7.51,91.71,812.83,0.122222222222222,0.0,0.115277777777778,0.0069444444444444,72000.0
42,Dominican Republic,50.65,1.77,177.38,0.01,109.24,10.17,9.56,291.01,55.24,96.57,1.43,4.05,17.98,9.28,0.41,31.87,2.24,0.0,33.66,0.17,20.43,43.21,611.55,1.64017142857143,0.0230095238095238,1.25279047619048,0.364371428571429,10500000.0
43,Ecuador,37.12,1.44,173.0,0.37,168.11,7.78,7.77,90.62,45.22,107.93,1.72,2.48,1.99,1.77,0.2,25.59,0.08,0.0,19.58,0.18,15.53,28.16,390.62,1.21853691965051,0.0802409913768488,1.05366341156987,0.0846325167037862,17511000.0
44,Egypt,1.08,1.34,100.74,0.0,262.13,3.45,23.69,103.75,26.29,41.22,0.28,4.74,9.78,4.58,0.98,40.25,1.29,30.41,26.89,0.4,5.74,159.33,646.87,0.138359969445354,0.0076257651061972,0.111927224388163,0.0188069799509935,100803000.0
45,El Salvador,25.09,1.29,149.35,0.0,135.89,8.73,6.64,68.97,30.52,101.26,6.86,0.92,16.54,16.99,0.14,26.03,3.07,0.0,40.86,0.18,5.29,84.25,429.96,0.709149822558247,0.020475235303194,0.709149822558247,0.0540811603147662,6481000.0
46,Estonia,127.94,9.41,460.87,0.01,131.14,12.69,14.72,72.41,63.63,357.43,3.1,3.01,1.07,3.04,1.19,66.92,4.38,0.0,49.33,1.83,7.17,102.35,571.62,2.13418482344102,0.0175807663410969,1.42952667167543,0.687077385424493,1331000.0
47,Eswatini,66.28,1.09,78.93,0.02,157.41,1.68,3.88,91.09,27.6,41.85,7.13,2.79,3.2,3.81,1.72,56.64,0.69,0.0,33.86,0.95,3.47,27.37,453.46,0.858876811594203,0.0195652173913043,0.640670289855072,0.198641304347826,1104000.0
48,Ethiopia,17.76,0.2,38.32,0.0,159.76,0.43,0.44,8.52,5.4,30.86,0.13,1.0,1.68,21.85,3.11,81.71,2.14,0.0,9.53,0.58,3.4,13.35,323.45,0.108472275401163,0.0016855790316405,0.0976809147551255,0.0091057816143966,114916000.0
49,Fiji,27.18,4.27,114.74,0.03,148.25,3.92,34.83,31.62,43.85,25.46,3.78,2.4,64.01,11.32,0.73,114.87,1.81,0.0,142.14,0.23,12.69,57.37,615.96,0.00546875,0.0002232142857142,0.0049107142857142,0.0003348214285714,896000.0
50,Finland,98.85,11.4,590.56,0.0,114.17,8.74,33.62,69.99,76.69,457.7,17.45,2.41,1.94,1.17,0.37,60.78,11.97,0.0,40.39,1.01,5.42,84.18,507.68,0.658401157533008,0.0101465002712968,0.524507144149032,0.123747513112679,5529000.0
51,France,78.56,14.92,409.67,0.02,132.0,11.53,34.37,92.05,83.04,260.11,3.62,5.68,2.79,1.87,0.31,50.88,5.52,0.0,49.27,3.95,16.37,96.66,533.85,4.15308592546966,0.0999260856174931,0.309242377579304,3.74391746227287,64940000.0
52,French Polynesia,63.78,0.42,194.86,0.23,103.79,7.31,47.24,59.05,96.08,39.85,44.26,3.73,43.18,1.97,0.15,48.09,1.71,9.24,38.97,0.55,13.13,55.63,483.89,,,,,280000.0
53,Gabon,84.8,0.15,112.13,0.0,124.92,0.96,30.94,123.8,59.2,13.0,6.51,7.89,11.66,0.19,0.02,162.7,0.29,1.71,17.14,0.07,6.61,32.86,572.82,0.429000448229494,0.0028686687584043,0.420797848498431,0.005333930972658,2231000.0
54,Gambia,19.96,0.08,71.23,0.0,153.75,1.41,27.53,6.14,7.82,33.83,6.9,0.57,22.22,0.9,0.03,6.05,1.91,0.0,28.92,0.63,15.47,17.26,279.74,0.157219693835333,0.0051303268514687,0.151799751758378,0.0002896152254861,2417000.0
55,Georgia,30.77,2.86,188.61,0.0,189.71,6.11,8.04,38.53,31.83,137.93,9.57,1.83,1.02,0.03,0.3,45.58,2.91,0.0,40.2,1.98,8.11,49.77,418.43,6.14831763122476,0.0680484522207268,5.787133243607,0.293135935397039,3715000.0
56,Germany,127.76,12.67,393.36,0.02,113.89,11.22,12.75,68.17,87.78,267.52,0.0,1.41,3.21,0.79,0.81,67.38,6.59,0.0,47.3,3.59,15.29,95.36,549.88,2.11601080432173,0.0409903961584634,1.66715966386555,0.407860744297719,83300000.0
57,Ghana,16.07,0.15,49.27,0.0,107.59,1.2,25.51,177.43,13.73,7.11,2.82,1.56,13.54,6.67,4.05,419.14,0.09,4.79,13.83,0.62,6.22,28.67,801.51,0.1767772664371,0.0010781063946191,0.173005503169955,0.0026936568725259,31073000.0
