,country,confirmed,deaths,recovered,active,population
0,Afghanistan,0.132362309905466,0.0056283394985614,0.1071901972873,0.0,38928000.0
1,Albania,2.05482734319944,0.0416138125440451,1.18513037350247,0.828083157152925,2838000.0
2,Algeria,0.225211353337692,0.0062267511328538,0.151937687399959,0.0670469148048786,44357000.0
3,Angola,0.0540188180308714,0.0012453108664903,0.0342721849824734,0.0185013221819076,32522000.0
4,Antigua and Barbuda,0.162244897959184,0.0051020408163265,0.151020408163265,0.0061224489795918,98000.0
5,Argentina,3.5912334442559,0.0954646627145911,3.14405095092227,0.351717830619036,45377000.0
6,Armenia,5.40385656292287,0.0956698240866035,4.84962787550744,0.458558863328823,2956000.0
7,Australia,0.11050710569232,0.0035295488079521,0.100062126271647,0.0069154306127203,25754000.0
8,Austria,4.07124747588064,0.0702378281355172,3.75702266098272,0.243986986762396,8914000.0
9,Azerbaijan,2.16700633161852,0.026414721013059,1.86268302334784,0.277908587257618,10108000.0
10,Bahamas,2.00687022900763,0.0435114503816794,1.58753180661578,0.375826972010178,393000.0
11,Bangladesh,0.302987474162147,0.0044614831958259,0.270101113604108,0.0284248773622128,169809000.0
12,Barbados,0.137630662020906,0.0024390243902439,0.111149825783972,0.0240418118466899,287000.0
13,Belarus,2.09304533333333,0.0152853333333333,1.89975466666667,0.178005333333333,9375000.0
14,Belgium,5.62995223621363,0.170047763786366,0.0,5.45990447242727,11515000.0
15,Belize,2.57183770883055,0.0591885441527446,2.33770883054893,0.174940334128878,419000.0
16,Benin,0.0266278974526988,0.0003603898763207,0.0250716684413138,0.0011958391350643,12209000.0
17,Bolivia,1.38386486718817,0.0788704547408235,1.13908707985902,0.165907332588326,11633000.0
18,Bosnia and Herzegovina,3.41795184395002,0.124535202682109,2.36763181956721,0.925784821700701,3281000.0
19,Botswana,0.638972809667674,0.0018126888217522,0.523780750971083,0.113379369874838,2317000.0
20,Brazil,3.63557211111741,0.0922568126451759,3.2365361735879,0.306779124884331,211812000.0
21,Bulgaria,2.92392088927386,0.10977335065685,1.73730330590443,1.07684423271257,6927000.0
22,Burkina Faso,0.0326651676792805,0.0004066401951872,0.0246471798306463,0.0076113476534468,20903000.0
23,Cabo Verde,2.13525179856115,0.0203237410071942,2.08075539568345,0.0341726618705036,556000.0
24,Cambodia,0.0024456346389623,0.0,0.0023359359876105,0.0001096986513518,15497000.0
25,Cameroon,0.100939920294759,0.0016843371682081,0.0935859839085646,0.0056695992179863,26598000.0
26,Canada,1.53286200576067,0.0409636030374444,1.29467661691542,,38190000.0
